id,title,description,availability,condition,price,link,image_link,brand,custom_label_0,custom_label_1,custom_label_2,custom_label_3
P-E299QT,"General Dentistry Practice for Sale – Santa Rosa, CA","General Dentistry practice for sale in Santa Rosa, CA: $1.26M annual collections, 5 operatories, asking $835K. Listed by Revolve Practice Transitions on Practice Orbit.",in stock,used,835000.00 USD,https://practiceorbit.com/app/practices/P-E299QT?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-E299QT-c006e48bad.jpg,Practice Orbit,CA,CA-NORTH,General Dentistry,Revolve Practice Transitions
P-JX24DR,"General Dentistry Practice for Sale – Los Altos, CA","General Dentistry practice for sale in Los Altos, CA: $850K annual collections, 3 operatories, asking $450K. Listed by Revolve Practice Transitions on Practice Orbit.",in stock,used,450000.00 USD,https://practiceorbit.com/app/practices/P-JX24DR?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-JX24DR-6b1401731e.jpg,Practice Orbit,CA,CA-BAY,General Dentistry,Revolve Practice Transitions
P-PH22TP,"General Dentistry Practice for Sale – San Jose, CA","General Dentistry practice for sale in San Jose, CA: $1.36M annual collections, 7 operatories, asking $975K. Listed by Revolve Practice Transitions on Practice Orbit.",in stock,used,975000.00 USD,https://practiceorbit.com/app/practices/P-PH22TP?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-PH22TP-b4f0782503.jpg,Practice Orbit,CA,CA-BAY,General Dentistry,Revolve Practice Transitions
P-VJNBCS,"Endodontist Practice for Sale – Monterey County, CA","Endodontist practice for sale in Monterey County, CA: $730K annual collections, 3 operatories, asking $615K. Listed by Revolve Practice Transitions on Practice Orbit.",in stock,used,615000.00 USD,https://practiceorbit.com/app/practices/P-VJNBCS?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-VJNBCS-345a7378f1.jpg,Practice Orbit,CA,CA-BAY,Endodontist,Revolve Practice Transitions
P-WZC84J,"General Dentistry Practice for Sale – Redwood City, CA","General Dentistry practice for sale in Redwood City, CA: $990K annual collections, 3 operatories, asking $750K. Listed by Revolve Practice Transitions on Practice Orbit.",in stock,used,750000.00 USD,https://practiceorbit.com/app/practices/P-WZC84J?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-WZC84J-4ad08d38bc.jpg,Practice Orbit,CA,CA-BAY,General Dentistry,Revolve Practice Transitions
P-ZV58EX,"General Dentistry Practice for Sale – San Carlos, CA","General Dentistry practice for sale in San Carlos, CA: $1.2M annual collections, 4 operatories, asking $990K. Listed by Revolve Practice Transitions on Practice Orbit.",in stock,used,990000.00 USD,https://practiceorbit.com/app/practices/P-ZV58EX?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-ZV58EX-d79f8a71d0.jpg,Practice Orbit,CA,CA-BAY,General Dentistry,Revolve Practice Transitions
P-34SQBK,"General Dentistry Practice for Sale – Centennial, CO","General Dentistry practice for sale in Centennial, CO: $1.45M annual collections, 9 operatories, asking $900K. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,900000.00 USD,https://practiceorbit.com/app/practices/P-34SQBK?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-34SQBK-41b95350c0.jpg,Practice Orbit,CO,CO,General Dentistry,Menlo Dental Transitions
P-RGXRP7,"General Dentistry Practice for Sale – Denver, CO","General Dentistry practice for sale in Denver, CO: 5 operatories, asking $1.2M. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,1200000.00 USD,https://practiceorbit.com/app/practices/P-RGXRP7?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-RGXRP7-5aab4135d8.jpg,Practice Orbit,CO,CO,General Dentistry,Menlo Dental Transitions
P-TQBSBZ,"Pediatric with Orthodontics Practice for Sale – Denver, CO","Pediatric with Orthodontics practice for sale in Denver, CO: 11 operatories, asking $850K. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,850000.00 USD,https://practiceorbit.com/app/practices/P-TQBSBZ?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-TQBSBZ-0b16ec21d2.jpg,Practice Orbit,CO,CO,Pediatric with Orthodontics,Menlo Dental Transitions
P-D9B5BE,"Dental Practice for Sale – Southeast GA, GA","Dental practice for sale in Southeast GA, GA: 4 operatories, asking $450K. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,450000.00 USD,https://practiceorbit.com/app/practices/P-D9B5BE?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-D9B5BE-78eb02e31f.jpg,Practice Orbit,GA,GA,Dental,Menlo Dental Transitions
P-G8VVZH,"General Dentistry Practice for Sale – Central Kansas, KS","General Dentistry practice for sale in Central Kansas, KS: $1.05M annual collections, 4 operatories, asking $750K. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,750000.00 USD,https://practiceorbit.com/app/practices/P-G8VVZH?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-G8VVZH-63556cab61.jpg,Practice Orbit,KS,KS,General Dentistry,Menlo Dental Transitions
P-2BVYV9,"General Dentistry Practice for Sale – North Bethesda, MD","General Dentistry practice for sale in North Bethesda, MD: $461K annual collections, 4 operatories, asking $550K. Listed by Filas Dental Brokerage on Practice Orbit.",in stock,used,550000.00 USD,https://practiceorbit.com/app/practices/P-2BVYV9?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-2BVYV9-2616202bed.jpg,Practice Orbit,MD,MD,General Dentistry,Filas Dental Brokerage
P-MX7TCK,"Dental Practice for Sale – Baltimore, MD","Dental practice for sale in Baltimore, MD: 4 operatories, asking $350K. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,350000.00 USD,https://practiceorbit.com/app/practices/P-MX7TCK?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-MX7TCK-94ba2e1c80.jpg,Practice Orbit,MD,MD,Dental,Menlo Dental Transitions
P-CFVRZB,"General Dentistry Practice for Sale – Charlotte, NC","General Dentistry practice for sale in Charlotte, NC: $3.1M annual collections, 5 operatories, asking $2.48M. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,2477000.00 USD,https://practiceorbit.com/app/practices/P-CFVRZB?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-CFVRZB-d0eb26d098.jpg,Practice Orbit,NC,NC,General Dentistry,Menlo Dental Transitions
P-X3YEPK,"General Dentistry Practice for Sale – Endwell, NY","General Dentistry practice for sale in Endwell, NY: asking $1.1M. Listed by Practice Partners on Practice Orbit.",in stock,used,1100000.00 USD,https://practiceorbit.com/app/practices/P-X3YEPK?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-X3YEPK-ccd920317d.jpg,Practice Orbit,NY,NY,General Dentistry,Practice Partners
P-9K6BS3,"General Dentistry Practice for Sale – Uhrichsville, OH","General Dentistry practice for sale in Uhrichsville, OH: $771K annual collections, 4 operatories, asking $685K. Listed by Ace Practice Sales on Practice Orbit.",in stock,used,685000.00 USD,https://practiceorbit.com/app/practices/P-9K6BS3?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-9K6BS3-052facfecd.jpg,Practice Orbit,OH,OH,General Dentistry,Ace Practice Sales
P-VJGNNY,"General Dentistry Practice for Sale – Oregon Coast, OR","General Dentistry practice for sale in Oregon Coast, OR: asking $495K. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,495000.00 USD,https://practiceorbit.com/app/practices/P-VJGNNY?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-VJGNNY-b7e9f81bc6.jpg,Practice Orbit,OR,OR,General Dentistry,Menlo Dental Transitions
P-X6C3W8,General Dentistry Practice for Sale – Oregon,"General Dentistry practice for sale in Oregon: $1.18M annual collections, 5 operatories, asking $900K. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,900000.00 USD,https://practiceorbit.com/app/practices/P-X6C3W8?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-X6C3W8-6ca566eded.jpg,Practice Orbit,OR,OR,General Dentistry,Menlo Dental Transitions
P-KRXK72,"Dental Practice for Sale – San Antonio, TX","Dental practice for sale in San Antonio, TX: $1.94M annual collections, 9 operatories, asking $1.71M. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,1705000.00 USD,https://practiceorbit.com/app/practices/P-KRXK72?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-KRXK72-53caa5d7fd.jpg,Practice Orbit,TX,TX,Dental,Menlo Dental Transitions
P-ZVRHGJ,"General Dentistry Practice for Sale – El Paso, TX","General Dentistry practice for sale in El Paso, TX: $463K annual collections, 6 operatories, asking $350K.",in stock,used,350000.00 USD,https://practiceorbit.com/app/practices/P-ZVRHGJ?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-ZVRHGJ-5c0f06e7e2.jpg,Practice Orbit,TX,TX,General Dentistry,
P-G4DAT3,"Dental Practice for Sale – Vancouver, WA","Dental practice for sale in Vancouver, WA: 5 operatories, asking $95K. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,95000.00 USD,https://practiceorbit.com/app/practices/P-G4DAT3?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-G4DAT3-0544596f77.jpg,Practice Orbit,WA,WA,Dental,Menlo Dental Transitions
P-GT24SE,"General Dentistry Practice for Sale – Yakima, WA","General Dentistry practice for sale in Yakima, WA: 5 operatories, asking $50K. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,50000.00 USD,https://practiceorbit.com/app/practices/P-GT24SE?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-GT24SE-7749750459.jpg,Practice Orbit,WA,WA,General Dentistry,Menlo Dental Transitions
P-YQBEHK,"General Dentistry Practice for Sale – Vancouver, WA","General Dentistry practice for sale in Vancouver, WA: $750K annual collections, 3 operatories, asking $595K. Listed by Menlo Dental Transitions on Practice Orbit.",in stock,used,595000.00 USD,https://practiceorbit.com/app/practices/P-YQBEHK?utm_source=facebook&utm_medium=paid_social&utm_campaign=state_listing_catalog,https://practiceorbit.github.io/practice-orbit-meta-feed/cards/P-YQBEHK-636bad94d8.jpg,Practice Orbit,WA,WA,General Dentistry,Menlo Dental Transitions
